time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-22T20:15:55.810Z,-31.9437,-69.6953,118.91,4.5,mb,,93,0.948,0.84,us,us1000hvje,2019-02-02T20:02:28.040Z,"72 km SSW of Calingasta, Argentina",earthquake,6,7.2,0.127,20,reviewed,us,us
2018-11-22T04:36:08.490Z,-30.808,-71.7156,23.6,4.3,mb,,159,0.15,0.72,us,us1000hvb5,2019-02-02T20:02:28.040Z,"54 km WSW of Ovalle, Chile",earthquake,6.7,5.3,0.189,8,reviewed,us,us
2018-11-22T02:22:31.130Z,-38.0734,-75.1699,10,4.5,mb,,195,1.567,0.44,us,us1000hva6,2019-02-02T20:02:28.040Z,"143 km WSW of Lebu, Chile",earthquake,6,2,0.221,6,reviewed,us,us
2018-11-21T11:42:59.890Z,-31.5889,-71.5564,49.04,4.7,mwr,,80,0.914,0.91,us,us1000huwi,2019-02-02T20:02:27.040Z,"37 km W of Illapel, Chile",earthquake,5.1,5.3,0.035,79,reviewed,us,us
2018-11-21T02:01:18.350Z,-23.1602,-66.3806,196.37,4.3,mb,,56,1.669,0.89,us,us1000hurq,2019-02-02T20:02:27.040Z,"71 km W of El Aguilar, Argentina",earthquake,8.2,16.8,0.239,5,reviewed,us,us
2018-11-21T00:06:49.880Z,-28.8586,-67.3543,117.1,4.6,mb,,78,2.561,0.73,us,us1000hur2,2019-02-02T20:02:27.040Z,"36 km NNE of Chilecito, Argentina",earthquake,8.4,5.9,0.082,45,reviewed,us,us
2018-11-20T17:02:39.550Z,-16.4193,-74.076,8.18,4.4,mb,,141,4.059,0.81,us,us1000huh2,2019-02-02T20:02:27.040Z,"53 km WSW of Atico, Peru",earthquake,7.7,4.9,0.102,28,reviewed,us,us
2018-11-20T07:56:12.630Z,-9.8584,-78.5269,64.37,4.5,mb,,141,2.685,0.91,us,us1000huc2,2019-02-02T20:02:27.040Z,"46 km SSW of Puerto Casma, Peru",earthquake,10.8,8.4,0.084,41,reviewed,us,us
2018-11-20T06:38:06.930Z,-9.8483,-78.5753,57.44,5.4,mww,,66,2.701,1.23,us,us1000hub0,2020-07-10T16:00:33.560Z,"47 km SSW of Puerto Casma, Peru",earthquake,5.1,4,0.055,32,reviewed,us,us
2018-11-20T03:13:16.000Z,-21.1077,-68.6891,143.93,4.1,mb,,47,0.748,1.07,us,us1000hu9a,2019-02-02T20:02:27.040Z,"151 km N of Calama, Chile",earthquake,5.5,9.2,0.301,3,reviewed,us,us
2018-11-20T01:56:55.260Z,-29.8599,-71.3784,37.71,4.2,mb,,103,0.134,0.76,us,us1000hu91,2019-02-02T20:02:27.040Z,"11 km NNW of Coquimbo, Chile",earthquake,5.4,12.2,0.216,6,reviewed,us,us
2018-11-17T14:47:25.220Z,-22.7239,-69.0567,121.5,4.3,mb,,54,0.476,1.12,us,us1000ht6v,2019-01-30T18:36:25.040Z,"32 km SSW of Calama, Chile",earthquake,7.8,5.1,0.188,8,reviewed,us,us
2018-11-17T12:55:33.690Z,-2.5357,-80.6747,10,4.9,mww,,134,1.417,0.98,us,us1000ht5t,2019-01-30T18:36:21.040Z,"33 km WNW of Playas, Ecuador",earthquake,7.4,1.9,0.098,10,reviewed,us,us
2018-11-16T17:43:34.660Z,-57.5343,-66.0963,10,4.9,mb,,95,2.745,0.9,us,us1000hst3,2019-01-30T18:36:25.040Z,"Drake Passage",earthquake,5.1,1.8,0.064,76,reviewed,us,us
